[2024-03-04 04:00:34] [policyServer.c:1079] - Created 'policies' table.
[2024-03-04 04:00:34] [policyServer.c:1444] - Starting the application
[2024-03-04 04:00:34] [policyServer.c:508] - MAX_PACKET_LEN: 1500
[2024-03-04 04:00:34] [policyServer.c:513] - RX_RING_SIZE: 1024
[2024-03-04 04:00:34] [policyServer.c:518] - TX_RING_SIZE: 1024
[2024-03-04 04:00:34] [policyServer.c:523] - NUM_MBUFS: 8191
[2024-03-04 04:00:34] [policyServer.c:528] - MBUF_CACHE_SIZE: 250
[2024-03-04 04:00:34] [policyServer.c:533] - BURST_SIZE: 32
[2024-03-04 04:00:34] [policyServer.c:538] - MAX_TCP_PAYLOAD_LEN: 1024
[2024-03-04 04:00:34] [policyServer.c:563] - PS ID: 07cd5873-eeb2-47f2-9e4b-72333c85814f
[2024-03-04 04:00:34] [policyServer.c:568] - HOSTNAME: http://192.168.0.70:3000
[2024-03-04 04:00:34] [policyServer.c:543] - STAT_FILE: stats/stats
[2024-03-04 04:00:34] [policyServer.c:548] - STAT_FILE_EXT: .csv
[2024-03-04 04:00:34] [policyServer.c:553] - TIMER_PERIOD_STATS: 1
[2024-03-04 04:00:34] [policyServer.c:558] - TIMER_PERIOD_SEND: 1
[2024-03-04 04:00:34] [policyServer.c:1452] - Load config done
[2024-03-04 04:00:34] [policyServer.c:1472] - Clean the statistics data
[2024-03-04 04:00:34] [policyServer.c:1492] - Create mbuf pool done
[2024-03-04 04:00:34] [policyServer.c:385] - Port 0 MAC: ae 50 82 be 45 ac
[2024-03-04 04:00:34] [policyServer.c:385] - Port 1 MAC: 0a 73 10 a5 ce 50
[2024-03-04 04:00:34] [policyServer.c:1520] - Main on core 1
[2024-03-04 04:00:34] [policyServer.c:1526] - Stats on core 2
[2024-03-04 04:00:34] [policyServer.c:1532] - DB on core 3
[2024-03-04 04:00:34] [policyServer.c:1538] - Run the lcore main function
[2024-03-04 04:00:34] [policyServer.c:1543] - Run the stats
[2024-03-04 04:00:34] [policyServer.c:1299] - 
Core 1 forwarding packets. [Ctrl+C to quit]
[2024-03-04 04:00:34] [policyServer.c:1547] - Run the Kafka Broker
[2024-03-04 04:00:34] [policyServer.c:1262] - Starting stats process in 2
[2024-03-04 04:00:34] [policyServer.c:1552] - Run the heartbeat
[2024-03-04 04:00:34] [policyServer.c:398] - Opening file stats/stats2024-03-04T04:00:00.csv
[2024-03-04 04:00:34] [policyServer.c:1405] - Time : 2024-03-04T04:00:34.000Z
[2024-03-04 04:00:34] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:00:34.000Z"}]
[2024-03-04 04:00:34] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1352,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:00:34.000Z"}]} 
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"c15531c4-dc73-4b53-a3c8-b7b1e3454b96","hit_count":0,"name":"Natthan","domain":"blabla.com","ip_add":"192.168.88.250"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - blabla.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"c15531c4-dc73-4b53-a3c8-b7b1e3454b96","name":"Natthan","domain":"blabla.com","ip_add":"222.222.222.222","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - blabla.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"e88a9ee1-97ed-431d-8684-d489157d8441","hit_count":0,"name":"HAI","domain":"wikipedia.com","ip_add":"192.168.88.250"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - wikipedia.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"20740328-ff62-40fa-a04d-4d02852096af","hit_count":0,"name":"Kemas","domain":"Nyoba","ip_add":"HEHE"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"d9edfc0a-8467-4fda-9d93-a846cf9e0b3a","hit_count":0,"name":"Kemas","domain":"Nyoba","ip_add":"HEHE"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"20740328-ff62-40fa-a04d-4d02852096af","name":"Kemas","domain":"Nyoba","ip_add":"HEHE","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"d9edfc0a-8467-4fda-9d93-a846cf9e0b3a","name":"Kemas","domain":"Nyoba","ip_add":"HEHE","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"96c00f75-65af-45cc-a185-bc8d27d9d670","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"e53adada-e4bb-4c48-9901-9762e23b8aa5","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"96c00f75-65af-45cc-a185-bc8d27d9d670","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"e53adada-e4bb-4c48-9901-9762e23b8aa5","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"b0e586b3-d86b-49f0-8105-a75b749eb7d3","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"3f6054c7-53bf-4300-b189-220d2a6b14be","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"b0e586b3-d86b-49f0-8105-a75b749eb7d3","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"3f6054c7-53bf-4300-b189-220d2a6b14be","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"7ae4e7f3-6272-4cbd-bef7-c1faf042ccd4","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"dffff666-fe70-4e2c-89d2-ca92a9e3df85","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"dffff666-fe70-4e2c-89d2-ca92a9e3df85","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"7ae4e7f3-6272-4cbd-bef7-c1faf042ccd4","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"67463513-5805-41db-b304-9b832fa5a352","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"c2ca554c-1997-42ff-b92f-a7d6a71063d1","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"67463513-5805-41db-b304-9b832fa5a352","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"6255214d-31e4-4336-a9b7-a91e068a6ae0","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
